Species,Sex system ,Term,Estimate,SE,t,df,p.value
Rumex acetosella,D,Intercept,-757.38,94.27,-8.03,255.32,3.49E-14
,,Max height,-0.01,0.01,-1.59,39.56,0.12
,,Stigma length,1.31,0.39,3.33,253.81,0.001
,,Date,0.06,0.01,8.03,255.33,3.58E-14
,,1/(Average distance),14.73,5.41,2.72,35.31,0.01
Thalictrum dioicum,D,Intercept,-1810.47,396.40,-4.57,89.90,1.56E-05
,,Max height,0.02,0.01,1.47,12.61,0.17
,,Stigma length,0.34,0.14,2.51,89.95,0.01
,,Date,0.14,0.03,4.57,89.90,1.56E-05
,,1/(Average distance),6.28,18.70,0.34,11.61,0.74
Ambrosia artemisiifolia,M,Intercept,-149.15,284.21,-0.52,212.37,0.60
,,Max height,-0.001,0.004,-0.18,23.89,0.86
,,Stigma length,0.22,0.14,1.58,208.55,0.11
,,Date,0.01,0.02,0.54,212.41,0.59
,,1/(Average distance),4.67,4.34,1.07,24.30,0.29
Carex communis,M,Intercept,-3972.97,453.80,-8.75,185.03,1.27E-15
,,Max height,-0.02,0.04,-0.50,19.52,0.62
,,Stigma length,0.46,0.15,3.08,194.24,0.002
,,Date,0.32,0.04,8.75,185.04,1.27E-15
,,1/(Average distance),6.33,12.23,0.52,18.92,0.61
Carex hirtifolia,M,Intercept,-1222.64,1109.29,-1.10,194.54,0.27
,,Max height,0.06,0.04,1.41,21.74,0.17
,,Stigma length,0.44,0.26,1.69,195.61,0.09
,,Date,0.10,0.09,1.10,194.54,0.27
,,1/(Average distance),7.76,7.76,1.00,20.30,0.33
Carex pedunculata,M,Intercept,-5854.19,897.60,-6.52,68.47,9.93E-09
,,Max height,-0.03,0.08,-0.36,9.25,0.73
,,Stigma length,0.13,0.20,0.67,70.75,0.51
,,Date,0.47,0.07,6.52,68.48,1.00E-08
,,1/(Average distance),14.26,34.60,0.41,10.82,0.69
Carex plantaginea,M,Intercept,-644.53,213.70,-3.02,85.43,0.003
,,Max height,0.03,0.05,0.61,16.45,0.55
,,Stigma length,0.15,0.12,1.28,90.54,0.20
,,Date,0.05,0.02,3.02,85.43,0.003
,,1/(Average distance),-12.63,14.61,-0.86,18.14,0.40
Carex stipata,M,Intercept,-2549.39,547.63,-4.66,315.00,4.77E-06
,,Max height,0.02,0.01,2.34,315.00,0.02
,,Stigma length,0.75,0.17,4.32,315.00,2.09E-05
,,Date,0.20,0.04,4.65,315.00,4.84E-06
,,1/(Average distance),45.40,18.01,2.52,315.00,0.01
Rumex crispus,M,Intercept,-825.37,390.78,-2.11,173.99,0.04
,,Max height,0.02,0.01,1.25,20.13,0.23
,,Stigma length,1.64,0.39,4.23,173.42,3.81E-05
,,Date,0.07,0.03,2.11,173.99,0.04
,,1/(Average distance),-12.26,11.93,-1.03,17.09,0.32
Scirpus microcarpus,M,Intercept,-3580.81,328.54,-10.90,243.79,8.57E-23
,,Max height,0.01,0.01,1.17,21.74,0.25
,,Stigma length,0.70,0.48,1.45,258.40,0.15
,,Date,0.28,0.03,10.90,243.79,8.56E-23
,,1/(Average distance),-1.34,4.74,-0.28,21.52,0.78
Chenopodium album,H,Intercept,318.10,659.80,0.48,144.00,0.63
,,Max height,-0.004,0.004,-1.00,144.00,0.32
,,Stigma length,2.58,0.57,4.49,144.00,1.46E-05
,,Date,-0.03,0.05,-0.48,144.00,0.63
,,1/(Average distance),-2.88,4.44,-0.65,144.00,0.52
Plantago lanceolata,H,Intercept,-1811.87,258.68,-7.00,254.45,2.21E-11
,,Max height,-0.01,0.02,-0.48,26.70,0.64
,,Stigma length,0.61,0.13,4.59,265.39,6.96E-06
,,Date,0.14,0.02,7.02,254.46,2.04E-11
,,1/(Average distance),-12.63,15.13,-0.83,26.83,0.41
Schizachne purpurascens,H,Intercept,3080.67,630.88,4.88,220.65,2.00E-06
,,Max height,0.02,0.02,0.91,27.77,0.37
,,Stigma length,0.11,0.31,0.35,233.67,0.73
,,Date,-0.25,0.05,-4.88,220.63,2.02E-06
,,1/(Average distance),66.77,48.31,1.38,29.48,0.18
