"Species","Sex_sys","nobs","sigma","logLik","AIC","BIC","REMLcrit","df.residual"
"Rumex acetosella","dioecious","261","0.5541474","-235.9218","485.8436","510.7952","471.8436","254"
"Thalictrum dioicum","dioecious","110","0.6353685","-117.9048","249.8095","268.7129","235.8095","103"
"Chenopodium album","hermaphroditic","149","0.7798779","-177.6626","369.3253","390.3529","355.3253","142"
"Plantago lanceolata","hermaphroditic","272","1.1736075","-447.6439","909.2879","934.5285","895.2879","265"
"Schizacne purpurascens","hermaphroditic","246","1.4515900","-446.8266","907.6533","932.1906","893.6533","239"
"Ambrosia artemisiifolia","monoecious","233","0.8327735","-311.5763","637.1525","661.3098","623.1525","226"
"Carex communis","monoecious","201","0.8678430","-270.0848","554.1695","577.2927","540.1695","194"
"Carex hirtifolia","monoecious","206","1.2812401","-346.0081","706.0162","729.3113","692.0162","199"
"Carex pedunculata","monoecious"," 80","0.7791307","-102.5195","219.0390","235.7131","205.0390"," 73"
"Carex plantaginea","monoecious"," 96","0.7778297","-125.5219","265.0438","282.9942","251.0438"," 89"
"Carex stipata","monoecious","320","0.9473654","-439.3067","892.6133","918.9916","878.6133","313"
"Rumex crispus","monoecious","179","0.8720750","-241.2785","496.5570","518.8687","482.5570","172"
"Scirpus microcarpus","monoecious","268","0.7533206","-317.9659","649.9318","675.0687","635.9318","261"
