"","X","Area","Circ.","AR","Round","Solidity"
"1",1,870.666,0.663,1.114,0.897,0.929
"2",2,823.962,0.813,1.092,0.915,0.963
"3",3,304.06,0.89,1.139,0.878,0.972
"4",4,776.873,0.878,1.048,0.954,0.973
"5",5,688.653,0.846,1.035,0.966,0.966
"6",6,780.62,0.841,1.006,0.995,0.969
"7",7,765.725,0.85,1.089,0.918,0.966
"8",8,732.186,0.767,1.176,0.85,0.939
"9",9,819.253,0.84,1.116,0.896,0.968
"10",10,848.851,0.72,1.229,0.814,0.932
"11",11,769.761,0.864,1.082,0.925,0.968
"12",12,720.558,0.686,1.409,0.71,0.918
"13",13,914.103,0.765,1.272,0.786,0.953
"14",14,800.321,0.859,1.138,0.878,0.972
"15",15,806.183,0.843,1.1,0.909,0.968
"16",16,783.888,0.866,1.055,0.948,0.969
"17",17,734.492,0.856,1.066,0.938,0.975
"18",18,770.722,0.87,1.04,0.962,0.972
"19",19,743.045,0.831,1.116,0.896,0.965
"20",20,672.316,0.87,1.017,0.984,0.97
"21",21,805.126,0.88,1.042,0.96,0.972
"22",22,1173.573,0.9,1.016,0.985,0.982
"23",23,1230.561,0.873,1.023,0.978,0.979
"24",24,1292.834,0.88,1.019,0.981,0.982
"25",25,1161.753,0.871,1.044,0.958,0.979
"26",26,669.913,0.762,1.194,0.837,0.952
"27",27,1280.148,0.843,1.014,0.986,0.98
"28",28,1338.769,0.868,1.025,0.976,0.98
"29",29,1225.179,0.849,1.017,0.983,0.979
"30",30,1240.747,0.877,1.007,0.993,0.982
"31",31,1356.163,0.852,1.023,0.977,0.976
"32",32,1323.874,0.872,1.038,0.963,0.98
"33",33,632.723,0.723,1.129,0.886,0.938
"34",34,1507.809,0.813,1.118,0.895,0.97
"35",35,1219.125,0.86,1.044,0.958,0.973
"36",36,1340.787,0.884,1.033,0.968,0.981
"37",37,1426.797,0.876,1.039,0.962,0.983
"38",38,1248.628,0.843,1.013,0.987,0.974
"39",39,1091.985,0.451,1.123,0.89,0.807
"40",40,967.439,0.87,1.026,0.975,0.978
"41",41,1356.356,0.884,1.039,0.963,0.983
"42",42,1443.711,0.584,1.035,0.966,0.918
"43",43,1132.154,0.868,1.026,0.975,0.976
"44",44,1088.044,0.795,1.077,0.929,0.972
"45",45,1115.625,0.604,1.191,0.839,0.921
"46",46,1424.491,0.722,1.07,0.934,0.945
"47",47,898.92,0.88,1.035,0.966,0.979
"48",48,850.101,0.744,1.198,0.834,0.96
"49",49,1214.704,0.83,1.024,0.977,0.973
"50",50,978.394,0.887,1.029,0.972,0.978
"51",51,988.581,0.825,1.04,0.961,0.977
"52",52,1374.519,0.784,1.03,0.97,0.969
"53",53,1530.681,0.491,1.355,0.738,0.889
"54",54,953.889,0.715,1.286,0.778,0.964
"55",55,543.35,0.638,1.151,0.869,0.937
"56",56,878.162,0.694,1.064,0.94,0.932
"57",57,1324.931,0.87,1.028,0.973,0.98
"58",58,1261.024,0.739,1.037,0.964,0.953
"59",59,759.094,0.874,1.044,0.958,0.971
"60",60,711.332,0.888,1.045,0.957,0.972
"61",61,1203.172,0.856,1.05,0.952,0.979
"62",62,1349.148,0.722,1.207,0.828,0.949
"63",63,1314.264,0.82,1.05,0.952,0.975
"64",64,1247.955,0.65,1.041,0.961,0.953
"65",65,961.577,0.864,1.06,0.943,0.979
"66",66,827.517,0.822,1.035,0.966,0.963
"67",67,878.066,0.814,1.057,0.946,0.961
"68",68,935.245,0.855,1.054,0.948,0.968
"69",69,802.531,0.866,1.206,0.829,0.974
"70",70,849.332,0.756,1.363,0.734,0.944
"71",71,855.002,0.85,1.17,0.854,0.972
"72",72,764.091,0.857,1.163,0.86,0.974
"73",73,775.047,0.657,1.14,0.877,0.909
"74",74,1236.615,0.687,1.094,0.914,0.949
"75",75,1236.135,0.853,1.04,0.962,0.978
"76",76,1419.109,0.823,1.01,0.99,0.978
"77",77,1428.911,0.854,1.027,0.974,0.981
"78",78,1041.34,0.726,1.094,0.914,0.967
"79",79,1174.823,0.786,1.035,0.966,0.969
"80",80,1310.035,0.826,1.006,0.995,0.975
"81",81,1426.22,0.816,1.019,0.981,0.975
"82",82,1295.909,0.839,1.044,0.958,0.973
"83",83,1379.708,0.833,1.012,0.988,0.97
"84",84,1346.842,0.865,1.03,0.971,0.975
"85",85,1224.699,0.823,1.037,0.965,0.973
"86",86,1124.37,0.788,1.182,0.846,0.972
"87",87,1346.938,0.82,1.043,0.959,0.978
"88",88,1232.963,0.834,1.036,0.966,0.976
"89",89,950.045,0.794,1.114,0.897,0.973
"90",90,1280.725,0.792,1.071,0.934,0.969
"91",91,1295.524,0.855,1.027,0.974,0.98
"92",92,1001.843,0.678,1.185,0.844,0.967
"93",93,1271.019,0.843,1.033,0.968,0.98
"94",94,1318.108,0.297,1.338,0.747,0.868
"95",95,1307.825,0.789,1.008,0.992,0.974
"96",96,1464.757,0.664,1.158,0.864,0.953
"97",97,1269.385,0.841,1.077,0.928,0.98
"98",98,1342.229,0.868,1.003,0.997,0.982
"99",99,1295.62,0.854,1.02,0.98,0.98
"100",100,1206.536,0.772,1.029,0.972,0.976
"101",101,1334.829,0.824,1.016,0.984,0.978
"102",102,1477.538,0.822,1.019,0.981,0.98
"103",103,869.225,0.814,1.043,0.958,0.959
"104",104,674.814,0.57,1.229,0.814,0.872
"105",105,931.594,0.586,1.192,0.839,0.896
"106",106,1212.398,0.882,1.02,0.98,0.981
"107",107,742.277,0.841,1.032,0.969,0.973
"108",108,1281.013,0.833,1.011,0.989,0.974
"109",109,1210.476,0.793,1.027,0.974,0.976
"110",110,1202.403,0.844,1.007,0.993,0.975
"111",111,1468.12,0.87,1.028,0.973,0.983
"112",112,1216.146,0.856,1.003,0.997,0.976
"113",113,1276.977,0.833,1.014,0.987,0.978
"114",114,1271.98,0.875,1.026,0.975,0.981
"115",115,1257.757,0.872,1.023,0.978,0.979
"116",116,924.482,0.697,1.121,0.892,0.922
"117",117,1258.045,0.677,1.063,0.94,0.952
"118",118,1124.947,0.54,1.088,0.919,0.943
"119",119,1126.388,0.873,1.022,0.979,0.978
