species,genus,family
Amaranthus retroflexus,Amaranthus,Amaranthaceae
Ambrosia artemisiifolia,Ambrosia,Asteraceae
Bromus inermis,Bromus,Poaceae
Carex communis,Carex,Cyperaceae
Carex hirtifolia,Carex,Cyperaceae
Carex pedunculata,Carex,Cyperaceae
Carex plantaginea,Carex,Cyperaceae
Carex stipata,Carex,Cyperaceae
Chenopodium album,Chenopodium,Amaranthaceae
Dichanthelium linearifolium,Dichanthelium,Poaceae
Dichanthelium implicatum,Dichanthelium,Poaceae
Elymus repens,Elymus,Poaceae
Festuca campestris,Festuca,Poaceae
Leymus innovatus,Leymus,Poaceae
Phleum pratense,Phleum,Poaceae
Plantago lanceolata,Plantago,Plantaginaceae
Plantago major,Plantago ,Plantaginaceae
Rumex acetosella,Rumex,Polygonaceae
Rumex crispus,Rumex,Polygonaceae
Schizachne purpurascens,Schizachne,Poaceae
Scirpus microcarpus,Scirpus,Cyperaceae
Setaria viridis,Setaria,Poaceae
Thalictrum dioicum,Thalictrum,Ranunculaceae
