,,,Pollen size (?m),,,,Pollen per anther,,,
Species,Sex system,N,Mean ± SD,Min,Max,CV,Mean ± SD,Min ,Max,CV
Rumex acetosella,D,21,20 ± 0.6,19.3,21.5,0.030,2070 ± 564,0.27,1034,3242
Thalictrum dioicum,D,23,16.6 ± 0.6,15.9,17.7,0.037,3320 ± 1295,0.39,1108,5450
Amaranthus retroflexus,M,16,24.7 ± 1.7,21.9,28.1,0.068,2648 ± 618,0.23,1467,3733
Ambrosia artemisiifolia,M,21,17.9 ± 0.4,17.4,19.0,0.021,741 ± 391,0.53,228,1532
Carex communis,M,18,25 ± 0.8,23.2,26.1,0.033,618 ± 88,0.14,507,776
Carex hirtifolia,M,18,25.2 ± 0.4,24.7,26.1,0.016,665 ± 152,0.23,365,950
Carex pedunculata,M,19,24.6 ± 0.7,23.2,26.0,0.030,525 ± 126,0.24,335,909
Carex plantaginea,M,4,27 ± 0.2,26.8,27.2,0.007,1006 ± 115,0.11,872,1129
Carex stipata,M,36,24.6 ± 0.8,23.8,26.7,0.031,415 ± 73,0.18,256,568
Rumex crispus,M,20,24.1 ± 0.6,23.0,24.9,0.023,758 ± 166,0.22,499,1103
Scirpus microcarpus,M,14,22.8 ± 0.4,22.0,23.4,0.019,169 ± 64,0.38,109,334
Agropyron trachycaulum,H,10,24.8 ± 0.1,24.8,24.9,0.003,2347 ± 159,0.07,2162,2549
Agrostis stolonifera,H,4,28.1 ± 1.6,25.9,29.7,0.057,1719 ± 1078,0.63,771,3491
Avenula hookeri,H,5,32.6 ± 0.2,32.4,32.8,0.006,5216 ± 1212,0.23,3887,6261
Bromus carinatus,H,3,33.5 ± 2.6,30.1,40.4,0.077,5659 ± 2452,0.43,940,11633
Bromus inermis,H,30,24.2 ± 0.6,23.3,25.4,0.023,525 ± 137,0.26,273,824
Chenopodium album,H,22,37.1 ± 1.6,33.8,39.2,0.042,4995 ± 1848,0.37,1481,8909
Elymus innovatus,H,34,37.7 ± 1.6,34.9,39.2,0.041,5395 ± 927,0.17,3249,6493
Elymus repens,H,33,28.9 ± 1.6,23.9,32.6,0.054,6518 ± 1947,0.30,1084,10865
Festuca campestris,H,60,29.6 ± 1.1,27.8,31.1,0.038,2473 ± 931,0.38,1095,4481
Festuca pratensis,H,14,29.1 ± 1.2,26.6,30.5,0.041,3037 ± 2565,0.84,649,7500
Festuca rubra,H,8,22.6 ± 1.9,18.1,25.6,0.084,1713 ± 784,0.46,51,3631
Hierochloe odorata,H,50,22 ± 1.2,20.7,24.5,0.053,2374 ± 1045,0.44,866,4818
Koeleria cristata,H,25,35.2 ± 1.7,31.9,38.2,0.047,7573 ± 2434,0.32,3737,14904
Phalaris arundinacea,H,7,32.1 ± 0.5,31.1,32.5,0.016,1496 ± 493,0.33,532,2106
Phleum pratense,H,30,29.9 ± 1.8,26.8,33.5,0.060,1697 ± 595,0.35,265,2654
Plantago lanceolata,H,24,21.2 ± 1.2,18.6,23.2,0.056,2749 ± 768,0.28,1009,4743
Poa juncifolia,H,6,21.7 ± 1,20.0,23.0,0.046,2426 ± 1037,0.43,1320,4195
Poa secunda subsp. secunda,H,3,23.4 ± 0.4,22.9,23.7,0.019,923 ± 413,0.45,575,1379
Schizachne purpurascens,H,12,29.3 ± 0.5,28.6,30.3,0.017,287 ± 99,0.35,150,430
Stipa columbiana,H,10,28.5 ± 1.3,26.5,30.1,0.047,673 ± 387,0.57,144,1336
