Species,Family,Sex system,source,N
Rumex acetosella,Polygonaceae,Dioecious,"Kingston, ON, 2021",9
Rumex acetosella,Polygonaceae,Dioecious,"Koffler Scientific Reserve, ON, 2004",21
Thalictrum dioicum,Ranunculaceae,Dioecious,"Kingston, ON, 2021",7
Thalictrum dioicum,Ranunculaceae,Dioecious,"Koffler Scientific Reserve, ON, 2004",23
Amaranthus retroflexus,Amaranthaceae,Monoecious,"Kingston, ON, 2021",16
Ambrosia artemisiifolia,Asteraceae,Monoecious,"Kingston, ON, 2021",10
Ambrosia artemisiifolia,Asteraceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",21
Carex communis,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",18
Carex hirtifolia,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",18
Carex pedunculata,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",19
Carex plantaginea,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",4
Carex stipata,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",36
Rumex crispus,Polygonaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",20
Scirpus microcarpus,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",14
Elymus trachycaulus,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",10
Agrostis stolonifera,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",4
Avenula hookeri,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",5
Bromus carianatus,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",3
Bromus inermis,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",30
Chenopodium album,Amaranthaceae,Hermaphroditic,"Kingston, ON, 2021",19
Chenopodium album,Amaranthaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",22
Elymus innovatus,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",35
Elymus repens,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",33
Festuca campestris,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",60
Festuca pratensis,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",14
Festuca rubra,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",8
Hierochloe odorata,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",67
Koeleria cristata,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",25
Phalaris arundinacea,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",7
Phleum pratense,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",30
Plantago lanceolata,Plantaginaceae,Hermaphroditic,"Kingston, ON, 2021",28
Plantago lanceolata,Plantaginaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",24
Poa juncifolia,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",6
Poa secunda subsp. secunda,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",3
Schizachne purpurascens,Poaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",12
Stipa columbiana,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",10
