Species,Family,Sex system,Source,N
Rumex acetosella,Polygonaceae,Dioecious,"Kingston, ON, 2021",39
Rumex acetosella,Polygonaceae,Dioecious,"Koffler Scientific Reserve, ON, 2004",30
Thalictrum dioicum,Ranunculaceae,Dioecious,"Kingston, ON, 2021",59
Thalictrum dioicum,Ranunculaceae,Dioecious,"Koffler Scientific Reserve, ON, 2004",23
Amaranthus retroflexus,Amaranthaceae,Monoecious,"Kingston, ON, 2021",30
Ambrosia artemisiifolia,Asteraceae,Monoecious,"Kingston, ON, 2021",30
Ambrosia artemisiifolia,Asteraceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",30
Carex communis,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",22
Carex hirtifolia,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",48
Carex pedunculata,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",23
Carex plantaginea,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",27
Carex stipata,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",30
Rumex crispus,Polygonaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",25
Scirpus microcarpus,Cyperaceae,Monoecious,"Koffler Scientific Reserve, ON, 2004",30
Bromus inermis,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",67
Chenopodium album,Amaranthaceae,Hermaphroditic,"Kingston, ON, 2021",30
Chenopodium album,Amaranthaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",30
Dichanthelium implicatum,Poaceae,Hermaphroditic,"Kingston, ON, 2021",40
Dichanthelium linearifolium,Poaceae,Hermaphroditic,"Kingston, ON, 2021",20
Elymus repens,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",41
Festuca campestris,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",83
Leymus innovatus,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",79
Phleum pratense,Poaceae,Hermaphroditic,"Kingston, ON, 2021",22
Phleum pratense,Poaceae,Hermaphroditic,"Kananaskis, AB, 2001-2002",69
Plantago lanceolata,Plantaginaceae,Hermaphroditic,"Kingston, ON, 2021",43
Plantago lanceolata,Plantaginaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",30
Plantago major,Plantaginaceae,Hermaphroditic,"Kingston, ON, 2021",16
Schizachne purpurascens,Poaceae,Hermaphroditic,"Koffler Scientific Reserve, ON, 2004",31
Setaria viridis,Poaceae,Hermaphroditic,"Kingston, ON, 2021",45
